1802
3	23	7	9	0.133194	-11.946896196500001
12	52	44	48	0.159721	-12.829572036600002
1	31	10	13	0.115614	-8.071567150380002
3	43	11	15	0.135818	-13.2106924392
2	62	32	38	0.0886135	-21.9390533796
47	57	52	53	0.107153	-11.81890542184
46	56	52	53	0.122116	-11.03047879306
46	56	47	48	0.161759	-6.741905104380001
51	61	52	53	0.315459	-8.146593670840002
2	52	12	17	0.124501	-21.6222555328
40	50	47	48	0.0873411	-10.73369377984
45	55	47	48	0.0832755	-7.79754812428
45	55	52	53	0.178322	-11.324016813540002
8	58	13	18	0.196512	-12.6838894726
39	49	47	48	0.185217	-8.157322327460001
44	54	52	53	0.350946	-8.76923848018
44	54	47	48	0.0626833	-12.8714249088
15	55	31	35	0.0970867	-18.850459563
43	53	47	48	0.0565855	-10.20091535892
2	12	8	9	0.111741	-11.482045357540002
5	55	10	15	0.218501	-13.3831657798
42	52	47	48	0.0587165	-10.05343028184
20	60	32	36	0.101465	-17.6608009302
5	15	12	13	0.156439	-11.5844799536
37	57	53	55	0.186513	-14.020588727200002
4	14	12	13	0.280259	-9.8468449985
5	15	10	11	0.133471	-11.53955293238
36	56	48	50	0.0886803	-13.346745138800001
41	61	53	55	0.0966238	-11.92610556618
2	62	14	20	0.139715	-17.510056514400002
3	23	13	15	0.100438	-26.750775624800003
2	22	10	12	0.119846	-14.8146821608
32	42	33	34	0.355601	-10.1712973529
7	47	35	39	0.107137	-15.476920528
11	61	36	41	0.078824	-17.7909275594
26	36	33	34	0.156224	-11.418327754760002
31	41	33	34	0.152574	-12.04509612142
6	36	15	18	0.104276	-13.152666333200001
20	40	34	36	0.121781	-11.109357259280001
4	24	8	10	0.141735	-12.027589521780001
7	47	39	43	0.147262	-13.096615584000002
2	52	7	12	0.222694	-13.174889097200001
24	44	34	36	0.091006	-10.78043566012
3	33	15	18	0.0930329	-12.7590764908
6	46	10	14	0.227415	-12.8647580796
18	38	34	36	0.199001	-16.1552086692
7	37	19	22	0.0949823	-17.147208162200002
6	16	7	8	0.266561	-7.020442759160001
22	42	34	36	0.100434	-13.338843711600001
10	50	22	26	0.0870994	-26.88337145
1	51	41	46	0.166745	-11.431562645320001
37	57	39	41	0.188915	-13.4283520666
5	55	40	45	0.110999	-6.71385503782
7	57	42	47	0.109412	-12.861424665000001
13	63	18	23	0.246719	-12.358449439800001
4	34	19	22	0.0920764	-17.57450253
33	63	36	39	0.195049	-11.481995973620002
32	62	41	44	0.0997881	-11.09846810492
4	44	20	24	0.0784044	-20.328643748400005
6	26	8	10	0.223453	-10.373141779920001
6	46	22	26	0.0759649	-20.5422292024
14	44	35	38	0.111065	-17.5178344818
8	18	10	11	0.17158	-10.439081659100001
3	13	9	10	0.129942	-11.433612078
34	64	40	43	0.119171	-12.400549231600001
3	13	10	11	0.189195	-9.54680064656
24	54	36	39	0.0826593	-16.992636492600003
13	33	15	17	0.221638	-11.09419639584
21	51	39	42	0.0879679	-14.387634712600002
11	41	35	38	0.170769	-13.348473576
19	39	21	23	0.276833	-8.14249480548
15	45	39	42	0.149981	-11.63483920602
31	61	40	43	0.0916406	-14.031206270000002
11	31	15	17	0.134336	-12.908339389000002
18	58	42	46	0.0843615	-14.7155439414
15	35	19	21	0.159168	-11.29339878314
10	20	18	19	0.403746	-7.43114412984
22	62	42	46	0.0786544	-15.6980370298
13	33	19	21	0.120509	-13.6511970056
16	46	22	25	0.11371	-13.8510784218
7	37	10	13	0.238409	-20.666306301400002
12	52	40	44	0.110254	-13.841818936800001
14	54	42	46	0.105795	-13.265261670800001
11	31	19	21	0.103643	-14.782212233400001
14	44	17	20	0.272191	-11.08375169676
13	43	22	25	0.0870961	-16.0103903238
38	48	39	40	0.361195	-11.721063530340002
43	53	44	45	0.22759	-7.437959110800001
13	63	43	48	0.0842851	-11.589282539820001
